Start_Lat,Start_Lng,City,County,Via,Road_Type,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Sunrise_Sunset,Hour,DayOfWeek,Month,Clase_Accidente,Target_Severity,Duration_min,MUTCD_Category,Corregimiento,Start_Time,End_Time,Estado_Reclamo,No_Poliza,Lag_Apertura_dias,INEC_2023,INEC_2024,INEC_weight,YoY_growth
9.026795,-79.509919,Panama City,Las Mañanitas,Vías - Otras carreteras vecinales,highway,False,False,False,False,False,False,False,False,False,False,False,False,81.0,88.0,6.01,5.8,0.294,Heavy Rain,Day,16,0,7,Colisión,0,12.0,Menor,Las Mañanitas,2023-07-10 16:45:00,2023-07-10 00:11:59,Cerrado,PA-564797,1.0,602,589,0.02678,-0.0216
9.019451,-79.463316,Panama City,Juan Díaz,Avenida José Agustín Arango,avenue,False,False,True,False,True,False,False,False,False,False,False,True,82.3,59.8,9.29,5.9,0.038,Clear,Night,5,1,1,Colisión,0,29.0,Menor,Juan Díaz,2023-01-24 05:57:00,2023-01-24 00:28:58,Cerrado,PA-642375,0.0,1788,1969,0.08951,0.1012
9.111303,-79.323398,Panama City,Pacora,Calle José Agustín Arango,street,False,False,False,False,False,False,False,False,False,False,False,False,86.2,80.5,5.47,7.1,0.133,Heavy Rain,Day,9,0,11,Colisión,0,16.7,Menor,Pacora,2023-11-13 09:08:00,2023-11-13 00:16:42,Cerrado,PA-835740,0.8,507,571,0.02596,0.1262
8.996596,-79.480895,Panama City,Pueblo Nuevo,Calle 66 A Oeste - Calle 4.a Vista Hermosa,street,False,False,False,False,False,False,False,False,False,False,False,True,82.4,91.6,6.82,6.5,0.302,Rain,Day,11,2,11,Colisión,0,9.0,Menor,Pueblo Nuevo,2023-11-01 11:24:00,2023-11-01 00:08:57,Abierto,PA-555532,0.7,1022,1080,0.0491,0.0568
8.96907,-79.547836,Panama City,Ancón,Vía Centenario,other,False,False,False,False,False,False,False,False,False,False,False,False,83.3,94.5,7.53,5.6,0.061,Heavy Rain,Day,14,0,8,Colisión,0,10.5,Menor,Ancón,2024-08-05 14:32:00,2024-08-05 00:10:27,Cerrado,PA-984063,2.9,2719,2881,0.13097,0.0596
8.969726,-79.560144,Panama City,Curundú,Avenida Simón Bolívar,avenue,False,False,False,False,True,False,False,False,True,False,False,True,79.7,79.8,7.38,8.0,0.016,Partly Cloudy,Night,1,6,12,Colisión,1,41.0,Intermedio,Curundú,2023-12-17 01:32:00,2023-12-17 00:41:02,Cerrado,PA-446420,0.0,244,202,0.00918,-0.1721
9.015504,-79.47685,Panama City,Río Abajo,Avenida Cincuentenario,avenue,False,False,True,False,True,True,False,False,False,True,False,True,84.7,88.6,9.02,13.6,0.026,Overcast,Night,19,4,9,Colisión,0,18.0,Menor,Río Abajo,2023-09-01 19:01:00,2023-09-01 00:18:01,Abierto,PA-785956,2.2,572,648,0.02946,0.1329
9.03878,-79.499671,Panama City,Las Mañanitas,Vías - Otras carreteras vecinales,highway,False,False,False,False,False,False,False,False,False,False,False,False,88.9,86.2,7.31,8.8,0.017,Heavy Rain,Day,11,1,10,Colisión,0,10.7,Menor,Las Mañanitas,2024-10-29 11:06:00,2024-10-29 00:10:39,Cerrado,PA-375348,0.0,602,589,0.02678,-0.0216
8.949144,-79.55391,Panama City,Ancón,Vía Centenario,other,False,False,False,False,True,False,False,False,False,False,False,False,82.8,80.2,7.76,13.5,0.529,Thunderstorm,Day,14,1,11,Colisión,0,20.6,Menor,Ancón,2023-11-07 14:11:00,2023-11-07 00:20:37,Abierto,PA-470455,1.3,2719,2881,0.13097,0.0596
9.003853,-79.471288,Panama City,Juan Díaz,Vías - Otras carreteras vecinales,highway,False,False,False,False,False,False,False,False,False,False,False,False,80.1,94.7,7.6,4.3,0.039,Overcast,Day,16,0,10,Colisión,0,13.0,Menor,Juan Díaz,2023-10-09 16:31:00,2023-10-09 00:12:58,Cerrado,PA-401900,1.1,1788,1969,0.08951,0.1012
